,APINumber,WellName,CountyName,OperatorName,StateName,TotalBaseNonWaterVolume
0,37015211100000,JACOBS 2H,Bradford,"Chesapeake Operating, Inc.",Pennsylvania,368555.0
1,42357329730000,McGarraugh G et al 138#7H,Ochiltree,Apache Corporation,Texas,23520.0
2,42357329910000,HG Adams 138-2H,Ochiltree,Apache Corporation,Texas,46653.0
3,42357329990000,Jines 100 #2H,Ochiltree,Apache Corporation,Texas,58426.0
4,49005566360000,West Recluse 11-2,Campbell,The Termo Company,Wyoming,156000.0
5,37059255440000,590586,Greene,EQT Production,Pennsylvania,509502.0
6,30045311420000,Fullerton Federal 241,San Juan,XTO Energy/ExxonMobil,New Mexico,1340.0
7,42283323760000,STS 451C,La Salle,Talisman Energy USA Inc.,Texas,14583.0
8,42283323860000,STS453C,La Salle,Talisman Energy USA Inc.,Texas,19074.0
9,42283323870000,STS 452C,La Salle,Talisman Energy USA Inc.,Texas,9676.0
10,42283323880000,STS 454C,La Salle,Talisman Energy USA Inc.,Texas,13387.0
11,33053036970000,Gabriel 3-36-25H,McKenzie,"Slawson Exploration Company, Inc.",North Dakota,138656.0
12,33105022670000,Stampede 2-36-25H,Williams,"Slawson Exploration Company, Inc.",North Dakota,140099.0
13,33061018680000,Spyder 2-17H,Mountrail,"Slawson Exploration Company, Inc.",North Dakota,164987.0
14,33061018690000,Spyder 3-17H,Mountrail,"Slawson Exploration Company, Inc.",North Dakota,87552.0
15,37131201120000,EDF 1H,Wyoming,"Chesapeake Operating, Inc.",Pennsylvania,238543.0
16,33061016390000,Stallion 2-1-12H,Mountrail,"Slawson Exploration Company, Inc.",North Dakota,168501.0
17,33061017550000,Probe 1-19-30HMB,Mountrail,"Slawson Exploration Company, Inc.",North Dakota,169923.0
18,42371388170000,Leslie #12,Pecos,Griffin Petroleum Company,Texas,1834.0
19,42283327740000,Zapp A3H,La Salle,Talisman Energy USA Inc.,Texas,27632.0
20,42227368580000,Strickland 19 #1,Howard,Athlon Energy Operating LLC,Texas,64708.0
21,42295338020000,Lesa Lynette 1027-3HM,Lipscomb,"Holmes Exploration, LLC",Texas,181231.0
22,42295338040000,Weinette 'B' 1078-6HM,Lipscomb,"Holmes Exploration, LLC",Texas,174600.0
23,30025403980000,Encore M State #006,Lea,"Quantum Resources Management, LLC",New Mexico,16431.0
24,37015216000000,ROCKS 2H,Bradford,"Chesapeake Operating, Inc.",Pennsylvania,440114.0
25,42357330850000,Pope 140-3H,Ochiltree,"Holmes Exploration, LLC",Texas,75066.0
26,35129234950000,BARC TRUST 1-14H,Roger Mills,"Chesapeake Operating, Inc.",Oklahoma,92367.0
27,5123233720000,Trinity 23-7,Weld,PDC Energy,Colorado,658.0
28,42357330810000,Jack Russell 917-1HM,Ochiltree,"Holmes Exploration, LLC",Texas,65179.0
29,37083553270000,HEARTWOOD 3H,McKean,"Chesapeake Operating, Inc.",Pennsylvania,397075.0
30,5123229740000,Trinity 44-7,Weld,PDC Energy,Colorado,81033.0
31,5123229890000,Trinity 33-7,Weld,PDC Energy,Colorado,61664.0
32,42295337900000,King 1077-1HM,Lipscomb,"Holmes Exploration, LLC",Texas,50875.0
33,47033055920000,AA Post Unit 1H,Harrison,Antero Resources Corporation,West Virginia,387227.0
34,42357330910000,Harbaugh Courson 141-4H,Ochiltree,"Holmes Exploration, LLC",Texas,75946.0
