CountyName,StateName,TVD
Adams,Colorado,11662.0
Alfalfa,Oklahoma,11186.0
Allegheny,Pennsylvania,7913.8
Allen,Louisiana,15715.0
Amite,Mississippi,13000.0
Anderson,Texas,13594.233
Andrews,Texas,15649.0
Angelina,Texas,16300.0
Aransas,Texas,13878.0
Arapahoe,Colorado,14205.0
Archer,Texas,6809.0
Archuleta,Colorado,8188.0
Arenac,Michigan,10574.0
Armstrong,Pennsylvania,11574.0
Ashland,Ohio,5278.0
Atascosa,Texas,15785.0
Atoka,Oklahoma,11839.0
Austin,Texas,15195.0
Avoyelles,Louisiana,16227.071
Banner,Nebraska,7200.0
Barber,Kansas,5107.0
Barbour,West Virginia,7892.0
Bastrop,Texas,7567.0
Baylor,Texas,5360.0
Beauregard,Louisiana,15457.0
Beaver,Oklahoma,11750.0
Beaver,Pennsylvania,9487.0
Beckham,Oklahoma,15490.0
Bee,Texas,13149.0
Beechey Point,Alaska,9221.0
Belmont,Ohio,15695.0
Bexar,Texas,1600.0
Bibb,Alabama,2518.0
Bienville,Louisiana,15453.0
Big Horn,Montana,8420.0
Big Horn,Wyoming,8140.0
Billings,North Dakota,14224.0
Blaine,Oklahoma,15970.0
Borden,Texas,12000.0
Bossier,Louisiana,16506.0
Bottineau,North Dakota,4450.0
Boulder,Colorado,7801.0
Bradford,Pennsylvania,12134.0
Brazoria,Texas,11239.0
Brazos,Texas,14000.0
Brewster,Texas,11073.0
Brooke,West Virginia,10774.0
Brooks,Texas,14162.0
Broomfield,Colorado,8449.0
Brown,Texas,3240.0
Bryan,Oklahoma,9186.0
Buchanan,Virginia,5915.0
Burke,North Dakota,14480.0
Burleson,Texas,15670.0
Butler,Kentucky,5030.0
Butler,Pennsylvania,9619.0
Caddo,Louisiana,16110.0
Caddo,Oklahoma,16322.0
Calcasieu,Louisiana,13200.0
Caldwell,Texas,2571.0
Calhoun,Texas,10200.0
Calhoun,West Virginia,2316.0
Callahan,Texas,4258.0
Cameron,Pennsylvania,11300.0
Campbell,Wyoming,15380.0
Canadian,Oklahoma,16265.0
Carbon,Montana,3463.0
Carbon,Utah,15634.0
Carbon,Wyoming,10387.0
Carroll,Ohio,8797.0
Carson,Texas,2911.0
Carter,Oklahoma,16493.0
Cass,Texas,10936.63333
Centre,Pennsylvania,9294.0
Chambers,Texas,14796.0
Chaves,New Mexico,8929.0
Cherokee,Texas,13000.0
Cheyenne,Colorado,5300.0
Cimarron,Oklahoma,6000.0
Claiborne,Louisiana,12070.0
Clare,Michigan,11647.0
Clarion,Pennsylvania,6074.0
Clark,Kansas,5986.0
Clay,Mississippi,10738.0
Clay,Texas,6800.0
Clearfield,Pennsylvania,12985.0
Cleburne,Arkansas,5287.0
Cleveland,Oklahoma,9800.0
Clinton,Pennsylvania,8599.0
Coal,Oklahoma,11608.0
Cochran,Texas,10189.0
Coke,Texas,7241.0
Coleman,Texas,6500.0
Colfax,New Mexico,2439.0
Colorado,Texas,12594.0
Columbiana,Ohio,8641.0
Comanche,Kansas,6291.0
Comanche,Oklahoma,8265.0
Concho,Texas,4250.0
Conecuh,Alabama,11676.0
Converse,Wyoming,14528.9
Conway,Arkansas,6505.0
Cooke,Texas,10062.0
Cottle,Texas,13575.0
Cowley,Kansas,2278.0
Crane,Texas,12500.0
Crawford,Michigan,9572.7
Crawford,Pennsylvania,6694.0
Creek,Oklahoma,4950.0
Crockett,Texas,14737.0
Crosby,Texas,5700.0
Culberson,Texas,14720.0
Custer,Oklahoma,16187.0
Dallam,Texas,6508.0
Dallas,Texas,14483.0
Dawson,Montana,12000.0
Dawson,Texas,16254.0
De Baca,New Mexico,4723.0
De Soto,Louisiana,15884.0
DeWitt,Texas,16286.0
Delta,Colorado,7152.0
Denton,Texas,14350.0
Dewey,Oklahoma,15763.0
Dickens,Texas,5351.0
Dickenson,Virginia,6235.0
Dimmit,Texas,14361.0
Divide,North Dakota,13696.0
Doddridge,West Virginia,11292.0
Dolores,Colorado,8697.0
Duchesne,Utah,16380.0
Dunn,North Dakota,12747.0
Duval,Texas,16200.0
East Feliciana,Louisiana,14938.0
Eastland,Texas,3776.0
Eaton,Michigan,7120.0
Ector,Texas,14000.0
Eddy,New Mexico,15015.0
Edwards,Illinois,5035.0
Elbert,Colorado,9730.0
Elk,Pennsylvania,11056.0
Elko,Nevada,11637.0
Ellis,Oklahoma,12963.0
Emery,Utah,5901.0
Escambia,Alabama,13183.0
Evangeline,Louisiana,12333.0
Fallon,Montana,3000.0
Faulkner,Arkansas,6187.0
Fayette,Pennsylvania,8320.0
Fayette,Texas,16148.0
Fergus,Montana,2617.0
Finney,Kansas,6000.0
Fisher,Texas,12000.0
Flaxman,Alaska,12882.0
Forest,Pennsylvania,5140.0
Fort Bend,Texas,13196.0
Franklin,Arkansas,8800.0
Franklin,Texas,9191.0
Freestone,Texas,15549.0
Fremont,Colorado,6500.0
Fremont,Wyoming,15364.0
Frio,Texas,13100.0
Gaines,Texas,12958.0
Garfield,Colorado,15787.0
Garfield,Oklahoma,12903.0
Garvin,Oklahoma,16041.0
Garza,Texas,8871.0
Gilmer,West Virginia,5941.0
Glasscock,Texas,16380.0
Golden Valley,North Dakota,12226.0
Goliad,Texas,13800.0
Gonzales,Texas,15522.0
Goshen,Wyoming,7621.0
Grady,Oklahoma,16538.0
Grand,Utah,10747.0
Grant,Kansas,5900.0
Grant,Oklahoma,9852.0
Gray,Kansas,5450.0
Gray,Texas,3290.0
Grayson,Texas,13495.0
Greene,Mississippi,14296.0
Greene,Pennsylvania,14602.0
Gregg,Texas,14255.0
Grimes,Texas,11941.0
Guadalupe,Texas,1251.0
Guernsey,Ohio,9200.0
Gunnison,Colorado,10424.5
Hale,Texas,10300.0
Hansford,Texas,9000.0
Hardeman,Texas,11897.0
Hardin,Texas,12875.0
Harding,New Mexico,3800.0
Harmon,Oklahoma,7101.0
Harper,Kansas,9906.0
Harper,Oklahoma,8587.0
Harris,Texas,11834.0
Harrison,Ohio,9325.0
Harrison,Texas,13000.0
Harrison,West Virginia,8200.0
Harrison Bay,Alaska,8818.0
Hartley,Texas,9333.0
Harvey,Kansas,7352.0
Haskell,Kansas,6411.0
Haskell,Oklahoma,7734.0
Haskell,Texas,6500.0
Hemphill,Texas,13690.0
Henderson,Texas,10825.0
Hidalgo,Texas,16409.0
Hockley,Texas,10186.0
Hood,Texas,8240.0
Hopkins,Texas,8195.0
Hot Springs,Wyoming,6550.0
Houston,Texas,14345.0
Howard,Texas,16435.0
Hudspeth,Texas,6400.0
Huerfano,Colorado,5026.0
Hughes,Oklahoma,14300.0
Hutchinson,Texas,9746.0
Indiana,Pennsylvania,14118.0
Ionia,Michigan,5068.0
Iosco,Michigan,10533.0
Irion,Texas,15619.0
Jack,Texas,9586.0
Jackson,Colorado,9891.0
Jackson,Louisiana,15650.0
Jackson,Oklahoma,11605.0
Jackson,Texas,11400.0
Jasper,Texas,15500.0
Jeff Davis,Texas,9582.0
Jefferson,Ohio,10201.0
Jefferson,Oklahoma,8924.0
Jefferson,Pennsylvania,12322.0
Jefferson,Texas,16300.0
Jefferson Davis,Mississippi,6867.0
Jim Hogg,Texas,14568.0
Jim Wells,Texas,5960.0
Johnson,Texas,8924.0
Johnson,Wyoming,13700.0
Johnston,Oklahoma,14477.0
Jones,Mississippi,16551.0
Jones,Texas,5300.0
Juab,Utah,3200.0
Kalkaska,Michigan,7973.05
Karnes,Texas,16477.0
Kay,Oklahoma,5000.0
Kearny,Kansas,6198.0
Kenai,Alaska,8619.0
Kenedy,Texas,16501.0
Kent,Texas,7500.0
Kern,California,13500.0
Kern - 30,California,13866.0
Kimball,Nebraska,8500.0
King,Texas,6050.0
Kingfisher,Oklahoma,15455.0
Kiowa,Colorado,5817.0
Kiowa,Kansas,8695.0
Kleberg,Texas,13789.373
Knox,Texas,5909.0
La Plata,Colorado,8230.0
La Salle,Texas,16368.0
Lamar,Mississippi,7000.0
Laramie,Wyoming,9185.0
Larimer,Colorado,7887.1
Las Animas,Colorado,14658.0
Latimer,Oklahoma,12259.0
Lavaca,Texas,15892.0
Lawrence,Kentucky,15944.0
Lawrence,Mississippi,15350.0
Lawrence,Pennsylvania,8457.0
Le Flore,Oklahoma,11344.0
Lea,New Mexico,16566.0
Lee,Texas,15705.0
Leon,Texas,15073.0
Lewis,West Virginia,7207.0
Liberty,Montana,3343.0
Liberty,Texas,14871.0
Limestone,Texas,13512.0
Lincoln,Colorado,9000.0
Lincoln,Louisiana,16480.0
Lincoln,Mississippi,10632.0
Lincoln,Oklahoma,9630.0
Lincoln,Wyoming,14200.0
Lipscomb,Texas,13590.0
Live Oak,Texas,16520.0
Logan,Colorado,5400.0
Logan,Oklahoma,16000.0
Love,Oklahoma,16561.0
Loving,Texas,16561.0
Lowndes,Mississippi,5750.0
Lubbock,Texas,5831.0
Lycoming,Pennsylvania,9491.0
Lynn,Texas,9393.0
Madison,Texas,15155.0
Mahoning,Ohio,6794.0
Major,Oklahoma,14070.0
Marion,Mississippi,6728.0
Marion,Texas,9200.0
Marion,West Virginia,7940.0
Marshall,Oklahoma,9223.0
Marshall,West Virginia,14501.0
Martin,Texas,16517.0
Matagorda,Texas,13947.0
Maverick,Texas,6300.0
McClain,Oklahoma,13184.0
McCulloch,Texas,1800.0
McIntosh,Oklahoma,5104.0
McKean,Pennsylvania,11074.0
McKenzie,North Dakota,15481.0
McLean,North Dakota,10012.0
McMullen,Texas,16266.0
Meade,Kansas,5478.0
Medina,Texas,2000.0
Menard,Texas,1800.0
Mercer,Pennsylvania,7895.0
Mesa,Colorado,12602.0
Midland,Texas,16114.0
Milam,Texas,7760.0
Mitchell,Texas,8386.0
Mobile,Alabama,10953.0
Moffat,Colorado,12578.0
Monongalia,West Virginia,13725.0
Monroe,Mississippi,6460.0
Monroe,Ohio,11359.0
Montague,Texas,14605.0
Montgomery,Texas,14192.0
Moore,Texas,12219.0
Morgan,Colorado,6428.0
Morgan,Ohio,6822.0
Morton,Kansas,6100.0
Mountrail,North Dakota,11760.0
Murray,Oklahoma,7500.0
Muskogee,Oklahoma,1732.0
Musselshell,Montana,4553.0
Nacogdoches,Texas,15128.0
Natchitoches,Louisiana,14383.0
Natrona,Wyoming,14700.0
Navarro,Texas,10900.0
Ness,Kansas,4451.0
Newton,Texas,14500.0
Niobrara,Wyoming,9076.0
Noble,Ohio,8418.0
Noble,Oklahoma,5404.0
Nolan,Texas,8999.0
Nowata,Oklahoma,1675.0
Nueces,Texas,13616.0
Nye,Nevada,2750.0
Ochiltree,Texas,13917.0
Ogemaw,Michigan,10883.0
Ohio,West Virginia,7050.0
Okfuskee,Oklahoma,4590.0
Oklahoma,Oklahoma,12626.0
Okmulgee,Oklahoma,3428.0
Oldham,Texas,13207.0
Orange,Texas,14090.0
Osage,Oklahoma,3987.0
Ouachita,Louisiana,11200.0
Palo Pinto,Texas,8835.0
Panola,Texas,16260.0
Park,Wyoming,7200.0
Parker,Texas,10152.0
Pawnee,Oklahoma,7765.0
Payne,Oklahoma,14962.0
Pearl River,Mississippi,8158.0
Pecos,Texas,15750.0
Phillips,Colorado,2593.0
Pickens,Alabama,6110.0
Pike,Mississippi,11279.0
Pittsburg,Oklahoma,12802.0
Pleasants,West Virginia,10833.0
Pointe Coupee,Louisiana,14364.0
Polk,Texas,15000.0
Pontotoc,Oklahoma,7000.0
Pope,Arkansas,3997.0
Posey,Indiana,9600.0
Pottawatomie,Oklahoma,7785.0
Potter,Pennsylvania,11695.0
Potter,Texas,10000.0
Pratt,Kansas,4605.0
Prowers,Colorado,4780.0
Pushmataha,Oklahoma,6625.0
Rapides,Louisiana,15383.0
Reagan,Texas,16560.0
Red River,Louisiana,14259.0
Red River,Texas,5621.0
Reeves,Texas,16300.0
Reno,Kansas,5800.0
Renville,North Dakota,5800.0
Rice,Kansas,3357.0
Richland,Montana,13905.0
Rio Arriba,New Mexico,10125.0
Rio Blanco,Colorado,14399.0
Ritchie,West Virginia,6858.0
Roberts,Texas,14625.0
Robertson,Texas,16015.0
Roger Mills,Oklahoma,15442.0
Rogers,Oklahoma,1344.0
Roosevelt,Montana,10633.0
Rosebud,Montana,5631.4
Routt,Colorado,10327.0
Runnels,Texas,5200.0
Rusk,Texas,15095.0
Russell,Virginia,5917.0
Sabine,Louisiana,14199.0
Sagavanirktok,Alaska,11448.0
Saline,Kansas,4082.0
San Augustine,Texas,15591.58
San Jacinto,Texas,12769.0
San Juan,New Mexico,8250.0
San Juan,Utah,7643.0
San Miguel,Colorado,9727.0
San Patricio,Texas,14481.882
Sandoval,New Mexico,7622.0
Sanilac,Michigan,5874.0
Sanpete,Utah,13001.0
Schleicher,Texas,11000.0
Scott,Kansas,4729.0
Scurry,Texas,11965.0
Seldovia,Alaska,8500.0
Seminole,Oklahoma,6053.0
Sevier,Utah,7440.0
Seward,Kansas,5518.0
Shackelford,Texas,7254.0
Sharkey,Mississippi,11727.0
Shelby,Texas,13392.0
Sheridan,Montana,9848.0
Sheridan,Wyoming,10565.0
Sherman,Texas,12140.0
Sioux,Nebraska,7740.0
Slope,North Dakota,7953.0
Smith,Mississippi,15700.0
Smith,Texas,12320.0
St. Helena,Louisiana,12759.0
Stafford,Kansas,3850.0
Stanton,Kansas,5640.0
Stark,North Dakota,11185.0
Stark,Ohio,7011.0
Starr,Texas,13800.0
State Waters - Anacapa Offshore Islands,California,6708.0
State Waters - Contra Costa County,California,11143.0
State Waters - Harrison Bay Quadrangle,Alaska,6526.0
State Waters - Kenai Quadrangle,Alaska,12240.0
State Waters - Los Angeles County,California,6119.0
State Waters - Marin County,California,9519.0
State Waters - New Hanover County,North Carolina,9042.0
State Waters - San Clemente Offshore Islands,California,10822.0
State Waters - San Nicolas Offshore Islands,California,4349.0
State Waters - Santa Catalina Offshore Islands,California,14450.0
State Waters - Santa Cruz Offshore Islands,California,11966.0
Stephens,Oklahoma,16474.0
Stephens,Texas,6000.0
Sterling,Texas,14706.5
Stevens,Kansas,6950.0
Stonewall,Texas,6500.0
Sublette,Wyoming,15300.0
Sullivan,New York,10893.0
Sullivan,Pennsylvania,9639.0
Summit,Ohio,4439.0
Sumner,Kansas,6187.0
Susquehanna,Pennsylvania,7764.0
Sutton,Texas,8450.0
Sweetwater,Wyoming,15450.0
Tangipahoa,Louisiana,11900.0
Tarrant,Texas,15176.0
Taylor,Texas,5000.0
Taylor,West Virginia,8800.0
Tazewell,Virginia,2535.0
Tensas,Louisiana,9065.0
Terrebonne,Louisiana,15325.0
Terrell,Texas,13795.0
Terry,Texas,12910.0
Texas,Oklahoma,8400.0
Throckmorton,Texas,6000.0
Tillman,Oklahoma,5400.0
Tioga,Pennsylvania,13035.0
Tom Green,Texas,9000.0
Toole,Montana,3893.0
Trinity,Texas,10856.0
Trumbull,Ohio,6869.0
Tulsa,Oklahoma,1968.0
Tuscaloosa,Alabama,2459.0
Tuscarawas,Ohio,7214.0
Tyler,Texas,14680.0
Tyler,West Virginia,12018.0
Uinta,Wyoming,15600.0
Uintah,Utah,16234.0
Ulster,New York,9429.0
Union,Arkansas,2071.0
Union,Louisiana,11330.0
Upshur,Texas,11264.0
Upshur,West Virginia,7694.0
Upton,Texas,16545.0
Van Buren,Arkansas,4492.0
Van Zandt,Texas,11750.0
Ventura,California,11143.0
Vernon,Louisiana,15650.0
Victoria,Texas,9500.0
Wagoner,Oklahoma,1612.0
Walker,Texas,13924.0
Waller,Texas,10354.0
Ward,Texas,15805.0
Warren,Mississippi,15491.0
Washakie,Wyoming,11039.0
Washington,Colorado,8073.0
Washington,Ohio,8200.0
Washington,Oklahoma,2200.0
Washington,Pennsylvania,14059.0
Washington,Texas,14429.0
Washita,Oklahoma,14600.0
Wayne,Illinois,4800.0
Webb,Texas,16197.0
Webster,Louisiana,14137.0
Webster,West Virginia,6890.0
Weld,Colorado,16515.0
West Baton Rouge,Louisiana,10448.0
West Feliciana,Louisiana,13777.0
Westmoreland,Pennsylvania,13601.0
Weston,Wyoming,4845.0
Wetzel,West Virginia,12851.1
Wharton,Texas,14149.0
Wheeler,Texas,15722.0
White,Arkansas,5698.0
White,Illinois,6879.0
Wibaux,Montana,11860.0
Wichita,Texas,9586.0
Wilbarger,Texas,8148.0
Wilkinson,Mississippi,13446.0
Willacy,Texas,13800.0
Williams,North Dakota,12997.0
Wilson,Texas,9879.61
Winkler,Texas,16563.0
Wise,Texas,14630.0
Wise,Virginia,6167.0
Wood,Texas,13046.0
Woods,Oklahoma,10722.0
Woodward,Oklahoma,12486.0
Wyoming,Pennsylvania,8900.2
Yazoo,Mississippi,13072.0
Yoakum,Texas,13418.0
Young,Texas,5250.0
Yuma,Colorado,2975.0
Zapata,Texas,12538.0
Zavala,Texas,10036.0
